n,kappa,method,left_tail,A,B,mean_length,median_length,p90_length,mean_to_median,true_power
4,0.25,Equal-tail,0.025,0.21579528262389785,9.348403604496138,0.18483937269145134,0.13101920318027005,0.3794880836488528,1.410780772625596,0.10636395381390473
4,0.25,Expected-opt,0.0049177881628058384,0.07092212319354008,8.045423302037985,0.17442789122838107,0.12226055116727208,0.35199117424754867,1.426689881266245,0.10636395381390473
4,0.25,Median-MC,0.004608889015325577,0.06787910178624913,8.030227340516138,0.17443295803025782,0.12225710317024685,0.35186825863736904,1.4267715617910106,0.10636395381390473
4,0.25,Median-opt,0.004632622142728138,0.06811513064439194,8.03139128784619,0.17443219930704126,0.12225707828717525,0.3518770665642187,1.4267656462173053,0.10636395381390473
4,0.5,Equal-tail,0.025,0.21579528262389785,9.348403604496138,0.4222506962050802,0.3759534310709416,0.7639298254809848,1.1231462763945421,0.19613361541722862
4,0.5,Expected-opt,0.006801567949560595,0.08834479350972922,8.140349532076542,0.40750778489886097,0.3499582792405125,0.7739943216407507,1.1644467614346594,0.19613361541722862
4,0.5,Median-MC,0.0031510340823995247,0.05251834492490257,7.959842779074712,0.4088116699787048,0.34847560332178673,0.782796309835653,1.1731428716437373,0.19613361541722862
4,0.5,Median-opt,0.0031461582910032137,0.052463581442994026,7.959610976263897,0.4088159218034692,0.34847559941626416,0.7828064034055304,1.173155086003961,0.19613361541722862
4,0.75,Equal-tail,0.025,0.21579528262389785,9.348403604496138,0.5958322575220506,0.6192338369701994,0.8197458928412242,0.9622088166844232,0.3180898694614277
4,0.75,Expected-opt,0.013492593036930725,0.14094310633331938,8.513645362316813,0.5899895829912314,0.603513537867995,0.8390576030233948,0.9775912982423905,0.3180898694614277
4,0.75,Median-MC,0.00618561848183526,0.08283634068230135,8.108874406849495,0.5933503862046045,0.599801728633463,0.8620791377279726,0.9892442083427189,0.3180898694614277
4,0.75,Median-opt,0.0065626809584308585,0.08622756981171584,8.128090746974236,0.5929583103044985,0.5997984693814585,0.8604865948461413,0.9885959044143379,0.3180898694614277
4,1.0,Equal-tail,0.025,0.21579528262389785,9.348403604496138,0.6916462517567948,0.7413762150680411,0.8265684112479662,0.9329220950166547,0.4607850678577827
4,1.0,Expected-opt,0.026347508832722157,0.22383670310521614,9.470015757039665,0.6915704587615026,0.7411671380942043,0.8249074586695011,0.93308300276206,0.4607850678577827
4,1.0,Median-MC,0.02671149852044048,0.22598954164981244,9.504032367741662,0.6915760380573943,0.7412036467163536,0.8244738989354048,0.9330445703028887,0.4607850678577827
4,1.0,Median-opt,0.026800496733438012,0.22651471773634185,9.51242903958667,0.6915791041351393,0.7411509204862999,0.8243774832318606,0.9331150849564696,0.4607850678577827
4,1.25,Equal-tail,0.025,0.21579528262389785,9.348403604496138,0.7292160440079635,0.7775216998880429,0.8280049516182987,0.9378722730349068,0.6059123230506216
4,1.25,Expected-opt,0.040090364566358665,0.3006316755303312,11.364506571717971,0.7179983574093267,0.7704067578036258,0.8178190418819831,0.9319730780351516,0.6059123230506216
4,1.25,Median-MC,0.03550978096242304,0.27592852913486465,10.54026655584987,0.7192571850812728,0.7700970859280004,0.8185927817485738,0.9339824786046771,0.6059123230506216
4,1.25,Median-opt,0.03740369258323188,0.28623425684530385,10.844642964875897,0.7184570501124554,0.7698551244114731,0.8179700209255584,0.9332366926331631,0.6059123230506216
8,0.25,Equal-tail,0.025,1.689869180677355,16.01276427462931,0.19610752552875602,0.1702552614549967,0.3239952772550305,1.151844141865729,0.15762745900525088
8,0.25,Expected-opt,0.01036527571383105,1.2538092707562818,14.728980528489624,0.19003919825320817,0.16436400993527234,0.31325242534174413,1.1562093084005853,0.15762745900525088
